run	arm	rep	tick	abs_tick	unit	species	report	year	time	text
20260918-221851	armed	1	42218	848618	149	DINGO	5	2	41136	The dingo scratches the kangaroo doe in the right upper leg, denting the skin and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	6	2	41144	The dingo misses the kangaroo doe!
20260918-221851	armed	1	42218	848618	149	DINGO	7	2	41334	The dingo scratches the kangaroo doe in the right foot, denting the skin and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	8	2	41344	The dingo attacks the kangaroo doe but She jumps away!
20260918-221851	armed	1	42218	848618	149	DINGO	9	2	41354	The dingo scratches the kangaroo doe in the left foot, denting the skin and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	10	2	41361	The dingo bites the kangaroo doe in the upper body, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	11	2	41370	The dingo bites the kangaroo doe in the left lower leg, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	12	2	41378	The dingo scratches the kangaroo doe in the left ear, tearing the cartilage!
20260918-221851	armed	1	42218	848618	149	DINGO	13	2	41378	The force twists the head!
20260918-221851	armed	1	42218	848618	149	DINGO	14	2	41385	The dingo bites the kangaroo doe in the lower body, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	15	2	41385	The dingo latches on firmly!
20260918-221851	armed	1	42218	848618	149	DINGO	16	2	41387	The kangaroo doe breaks the grip of The dingo's teeth from The kangaroo doe's lower body!
20260918-221851	armed	1	42218	848618	149	DINGO	17	2	41402	The dingo bites the kangaroo doe in the right foot, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	18	2	41411	The dingo bites the kangaroo doe in the left foot, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	19	2	41426	The dingo bites the kangaroo doe in the left lower arm, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	20	2	41430	The dingo bites the kangaroo doe in the right upper leg, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	21	2	41439	The dingo bites the kangaroo doe in the right lower leg, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	22	2	41454	The dingo scratches the kangaroo doe in the head, denting the skin and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	23	2	41454	The kangaroo doe has been stunned!
20260918-221851	armed	1	42218	848618	149	DINGO	24	2	41454	The force pulls the neck!
20260918-221851	armed	1	42218	848618	149	DINGO	25	2	41459	The dingo scratches the kangaroo doe in the left lower leg, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	26	2	41459	The force pulls the left upper leg!
20260918-221851	armed	1	42218	848618	149	DINGO	27	2	41469	The dingo scratches the kangaroo doe in the upper body, tearing the skin and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	28	2	41476	The dingo bites the kangaroo doe in the throat, tearing the skin!
20260918-221851	armed	1	42218	848618	149	DINGO	29	2	41478	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's throat.
20260918-221851	armed	1	42218	848618	149	DINGO	30	2	41490	The dingo bites the kangaroo doe in the lower body, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	31	2	41492	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's lower body.
20260918-221851	armed	1	42218	848618	149	DINGO	33	2	41506	The dingo bites the kangaroo doe in the left hand, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	34	2	41508	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's left hand.
20260918-221851	armed	1	42218	848618	149	DINGO	35	2	41532	The dingo bites the kangaroo doe in the head, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	36	2	41534	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's head.
20260918-221851	armed	1	42218	848618	149	DINGO	38	2	41537	The dingo bites the kangaroo doe in the upper body, tearing the fat and bruising the muscle and bruising the liver!
20260918-221851	armed	1	42218	848618	149	DINGO	39	2	41539	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's upper body.
20260918-221851	armed	1	42218	848618	149	DINGO	40	2	41552	The kangaroo doe looks sick!
20260918-221851	armed	1	42218	848618	149	DINGO	41	2	41556	The dingo scratches the kangaroo doe in the head, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	42	2	41564	The dingo bites the kangaroo doe in the left upper leg, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	43	2	41570	The dingo bites the kangaroo doe in the upper body, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	44	2	41575	The dingo scratches the kangaroo doe in the left upper leg, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	45	2	41579	The dingo scratches the kangaroo doe in the lower body, tearing the skin and bruising the muscle and bruising the right kidney!
20260918-221851	armed	1	42218	848618	149	DINGO	46	2	41588	The dingo bites the kangaroo doe in the upper body, tearing the fat and bruising the muscle and bruising the left lung!
20260918-221851	armed	1	42218	848618	149	DINGO	47	2	41594	The dingo bites the kangaroo doe in the right upper arm, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	48	2	41596	The kangaroo doe breaks the grip of the dingo's teeth on The kangaroo doe's right upper arm.
20260918-221851	armed	1	42218	848618	149	DINGO	49	2	41602	The dingo scratches the kangaroo doe in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260918-221851	armed	1	42218	848618	149	DINGO	50	2	41607	The dingo scratches the kangaroo doe in the right lower leg, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	51	2	41607	The force pulls the right upper leg!
20260918-221851	armed	1	42218	848618	149	DINGO	52	2	41612	The dingo bites the kangaroo doe in the lower body, tearing the fat and bruising the muscle and bruising the guts!
20260918-221851	armed	1	42218	848618	149	DINGO	54	2	41619	The dingo scratches the kangaroo doe in the right hand, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	55	2	41619	The force twists the right lower arm!
20260918-221851	armed	1	42218	848618	149	DINGO	57	2	41629	The dingo scratches the kangaroo doe in the right upper arm, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	58	2	41636	The force twists the neck!
20260918-221851	armed	1	42218	848618	149	DINGO	59	2	41648	The dingo bites the kangaroo doe in the right lower arm, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	60	2	41651	The kangaroo doe misses the dingo!
20260918-221851	armed	1	42218	848618	149	DINGO	61	2	41652	The kangaroo doe breaks the grip of The dingo's teeth from The kangaroo doe's right lower arm!
20260918-221851	armed	1	42218	848618	149	DINGO	62	2	41662	The dingo scratches the kangaroo doe in the left upper arm, tearing the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	64	2	41675	The dingo shakes the kangaroo doe around by the head, tearing apart the head's skin and bruising the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	65	2	41677	The dingo shakes the kangaroo doe around by the head, tearing apart the head's skin and bruising the fat and tearing apart the upper spine's nervous tissue!
20260918-221851	armed	1	42218	848618	149	DINGO	66	2	41677	A tendon in the upper spine has been torn!
20260918-221851	armed	1	42218	848618	149	DINGO	67	2	41679	The dingo bites the kangaroo doe in the head, tearing the fat!
20260918-221851	armed	1	42218	848618	149	DINGO	68	2	41766	The dingo bites the kangaroo doe in the head, tearing the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	69	2	41842	The dingo bites the kangaroo doe in the head, tearing apart the fat and bruising the muscle!
20260918-221851	armed	1	42218	848618	149	DINGO	72	2	42037	The dingo bites the kangaroo doe in the head, tearing apart the muscle!
