run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-130751	size	1	17633	824033	131	ELK_BIRD	FEMALE	33	55	24	29,20,-1,25,-1,21	cavern	23498	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	132	ELK_BIRD	FEMALE	32	52	24	29,20,-1,25,-1,21	cavern	25319	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	25702	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	134	MAGMA_CRAB	FEMALE	6	174	23	29,20,-1,34,-1,0	cavern	26711	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	135	MAGMA_CRAB	MALE	6	171	22	29,20,-1,34,-1,0	cavern	25452	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	136	MAGMA_CRAB	FEMALE	11	164	22	29,20,-1,34,-1,0	cavern	24474	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	24161	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	138	MAGMA_CRAB	MALE	9	162	22	29,20,-1,34,-1,0	cavern	20724	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	139	WOMBAT	MALE	62	7	104	29,20,-1,-1,-1,96	surface	26387	0	0	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	140	TROLL	MALE	101	191	43	29,20,-1,8,-1,27	cavern	27470	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	141	BLIND_CAVE_OGRE	MALE	11	67	31	29,20,-1,13,-1,29	cavern	21466	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	142	BLIND_CAVE_OGRE	FEMALE	2	61	31	29,20,-1,13,-1,29	cavern	24562	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	143	DEMON_2	DEFAULT	19	84	6	28,20,-1,44,-1,1	cavern	25851	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	144	DEMON_2	DEFAULT	10	75	4	28,20,-1,44,-1,1	cavern	28161	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	145	DEMON_2	DEFAULT	11	75	4	28,20,-1,44,-1,1	cavern	25851	0	1	0	0	0	-1	0	1
20260917-130751	size	1	17633	824033	146	WOMBAT	FEMALE	83	177	104	29,20,-1,-1,-1,96	surface	27284	0	0	0	0	0	-1	0	1
