arm	rep	listed_rel	first_present_rel	species	ref6	layer	n	countdown_min	countdown_max	departed	died	present	departed_rel_min	departed_rel_max	valid
control	1	1072	1072	PORCUPINE	29,20,-1,-1,-1,90	surface	1	23618	23618	1	0	0	25562	25562	True
control	1	1072	1072	OLM_GIANT	29,20,-1,8,-1,9	cavern	1	27937	27937	0	0	1			True
control	1	1072	1072	DEMON_19	28,20,-1,44,-1,0	cavern	4	24791	27900	2	0	2	25562	28806	True
control	1	1072	1072	BIRD_RAVEN	28,19,-1,-1,-1,53	surface	2	21301	26805	2	0	0	22193	28806	True
control	1	1072	1072	TROGLODYTE	29,20,-1,8,-1,19	cavern	8	20484	24994	7	1	0	23343	29910	True
control	1	1072	1072	ELK_BIRD	29,21,-1,13,-1,25	cavern	10	22735	28970	2	0	8	29910	29910	True
control	1	1072	1072	DINGO	29,20,-1,-1,-1,100	surface	7	21604	28594	3	0	4	28806	29910	True
control	1	26634	26634	BIRD_KAKAPO	29,20,-1,-1,-1,55	surface	1	20817	20817	0	0	1			True
control	1	26634	26634	BIRD_EMU	29,20,-1,-1,-1,56	surface	9	20668	28793	0	0	9			True
control	1	27695	27695	DINGO	29,20,-1,-1,-1,100	surface	7	20051	29424	0	0	7			True
control	1	29878	29878	BLIND_CAVE_OGRE	29,20,-1,25,-1,26	cavern	3	24505	26962	0	0	3			True
control	1	30982	30982	GIANT_EARTHWORM	29,20,-1,8,-1,24	cavern	1	26696	26696	0	0	1			True
control	2	1050	1050	PORCUPINE	29,20,-1,-1,-1,90	surface	1	26820	26820	0	0	1			True
control	2	1050	1050	CROCODILE_CAVE	29,20,-1,8,-1,10	cavern	1	24137	24137	1	0	0	25850	25850	True
control	2	1050	1050	CROCODILE_CAVE	29,20,-1,13,-1,14	cavern	1	27497	27497	0	1	0			True
control	2	1050	1050	DEMON_4	29,20,-1,43,-1,6	cavern	5	21848	23872	5	0	0	24703	28044	True
control	2	1050	1050	KANGAROO	29,20,-1,-1,-1,88	surface	4	25376	26920	4	0	0	26985	29161	True
control	2	1050	1050	TROGLODYTE	29,20,-1,8,-1,19	cavern	6	20722	28551	5	0	1	21273	25850	True
control	2	1050	1050	VORACIOUS_CAVE_CRAWLER	29,20,-1,13,-1,20	cavern	1	28489	28489	0	0	1			True
control	2	1050	1050	DINGO	29,20,-1,-1,-1,100	surface	7	19204	29726	0	0	7			True
control	2	24670	24670	REACHER	29,20,-1,13,-1,30	cavern	1	26657	26657	0	0	1			True
control	2	26900	26900	TROLL	29,20,-1,8,-1,27	cavern	1	20520	20520	0	0	1			True
control	2	28035	28035	DEMON_10	29,20,-1,43,-1,5	cavern	1	25021	25021	0	0	1			True
control	2	29094	29094	DEMON_9	29,20,-1,43,-1,2	cavern	1	20651	20651	0	0	1			True
control	2	30211	30211	FLESH_BALL	29,20,-1,25,-1,14	cavern	2	25122	28605	0	0	2			True
leader	1	1093	1093	BIRD_OWL_GREAT_HORNED	28,19,-1,-1,-1,61	surface	1	24299	24299	1	0	0	25945	25945	True
leader	1	1093	1093	TROGLODYTE	29,20,-1,8,-1,19	cavern	9	20989	27960	2	0	7	29169	29169	True
leader	1	1093	1093	OLM_GIANT	28,20,-1,13,-1,13	cavern	1	26755	26755	0	0	1			True
leader	1	1093	1093	DEMON_1	28,20,-1,44,-1,3	cavern	3	19493	22572	3	0	0	24859	27067	True
leader	1	1093	1093	BIRD_KAKAPO	29,20,-1,-1,-1,55	surface	1	25949	25949	0	0	1			True
leader	1	1093	1093	TROLL	29,20,-1,13,-1,32	cavern	1	20516	20516	1	0	0	22512	22512	True
leader	1	1093	1093	DINGO	29,20,-1,-1,-1,100	surface	7	25221	29025	2	0	5	28107	28107	True
leader	1	23605	23605	ELK_BIRD	29,20,-1,13,-1,25	cavern	10	19982	28163	0	0	10			True
