run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-175344	river_only	1	20378	2036378	165	HIPPO	FEMALE	123	108	94	13,28,0,-1,-1,5	feature	23291	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	166	HIPPO	FEMALE	122	104	94	13,28,0,-1,-1,5	feature	17701	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	167	HIPPO	MALE	124	99	94	13,28,0,-1,-1,5	feature	23052	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	168	HIPPO	FEMALE	126	98	94	13,28,0,-1,-1,5	feature	23516	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	178	WEASEL	FEMALE	183	186	95	13,28,-1,-1,-1,170	surface	23218	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	118	177	85	12,28,-1,2,-1,18	cavern	20565	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	180	BIRD_OSPREY	FEMALE	71	131	103	12,27,-1,-1,-1,6	surface	23910	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	181	BIRD_OSPREY	FEMALE	64	19	101	12,27,-1,-1,-1,6	surface	22590	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	182	BIRD_OSPREY	FEMALE	153	15	112	12,27,-1,-1,-1,6	surface	24937	0	1	1	0	0	-1	0	1
20260917-175344	river_only	1	20378	2036378	183	BIRD_OSPREY	MALE	144	16	98	12,27,-1,-1,-1,6	surface	26400	0	1	1	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	162	FISH_STINGRAY	MALE	158	66	94	13,28,0,-1,-1,6	feature	24308	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	163	ALLIGATOR	FEMALE	152	125	95	13,28,0,-1,-1,4	feature	17810	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	164	ALLIGATOR	MALE	146	129	95	13,28,0,-1,-1,4	feature	20700	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	165	HIPPO	FEMALE	121	121	94	13,28,0,-1,-1,5	feature	22060	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	166	HIPPO	FEMALE	124	118	94	13,28,0,-1,-1,5	feature	16470	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	167	HIPPO	MALE	126	113	94	13,28,0,-1,-1,5	feature	21821	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	168	HIPPO	FEMALE	126	108	94	13,28,0,-1,-1,5	feature	22285	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	178	WEASEL	FEMALE	149	133	95	13,28,-1,-1,-1,170	surface	21987	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	132	153	83	12,28,-1,2,-1,18	cavern	19334	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	180	BIRD_OSPREY	FEMALE	125	105	106	12,27,-1,-1,-1,6	surface	22679	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	181	BIRD_OSPREY	FEMALE	109	63	103	12,27,-1,-1,-1,6	surface	21359	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	182	BIRD_OSPREY	FEMALE	56	29	105	12,27,-1,-1,-1,6	surface	23706	0	1	1	0	0	-1	0	1
20260917-175344	river_only	1	21609	2037609	183	BIRD_OSPREY	MALE	147	78	100	12,27,-1,-1,-1,6	surface	25169	0	1	1	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	162	FISH_STINGRAY	MALE	165	49	94	13,28,0,-1,-1,6	feature	23279	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	163	ALLIGATOR	FEMALE	164	129	95	13,28,0,-1,-1,4	feature	16781	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	164	ALLIGATOR	MALE	159	131	95	13,28,0,-1,-1,4	feature	19671	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	165	HIPPO	FEMALE	126	130	94	13,28,0,-1,-1,5	feature	21031	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	166	HIPPO	FEMALE	122	126	94	13,28,0,-1,-1,5	feature	15441	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	167	HIPPO	MALE	121	121	94	13,28,0,-1,-1,5	feature	20792	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	168	HIPPO	FEMALE	122	117	94	13,28,0,-1,-1,5	feature	21256	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	178	WEASEL	FEMALE	163	141	95	13,28,-1,-1,-1,170	surface	20955	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	150	117	83	12,28,-1,2,-1,18	cavern	18305	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	180	BIRD_OSPREY	FEMALE	82	77	106	12,27,-1,-1,-1,6	surface	21650	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	181	BIRD_OSPREY	FEMALE	162	50	105	12,27,-1,-1,-1,6	surface	20330	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	182	BIRD_OSPREY	FEMALE	10	61	95	12,27,-1,-1,-1,6	surface	22677	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	183	BIRD_OSPREY	MALE	180	92	100	12,27,-1,-1,-1,6	surface	24140	0	0	0	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	184	BIRD_OSPREY	FEMALE	179	119	105	12,27,-1,-1,-1,6	surface	23980	0	1	1	0	0	-1	0	1
20260917-175344	river_only	1	22638	2038638	185	BIRD_OSPREY	FEMALE	137	73	109	12,27,-1,-1,-1,6	surface	27995	0	1	1	0	0	-1	0	1
