run	arm	rep	tick	abs_tick	event	subject	detail
20260918-071424	water	1	16883	2032883	baseline	wild_present	9
20260918-071424	water	1	16883	2032883	present_at_start	162	FISH_STINGRAY ref6=13,28,0,-1,-1,6 countdown=29034 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	163	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=22536 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	164	ALLIGATOR ref6=13,28,0,-1,-1,4 countdown=25426 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	165	HIPPO ref6=13,28,0,-1,-1,5 countdown=26786 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	166	HIPPO ref6=13,28,0,-1,-1,5 countdown=21196 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	167	HIPPO ref6=13,28,0,-1,-1,5 countdown=26547 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	168	HIPPO ref6=13,28,0,-1,-1,5 countdown=27011 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	178	WEASEL ref6=13,28,-1,-1,-1,170 countdown=26718 flag_src=1
20260918-071424	water	1	16883	2032883	present_at_start	179	BIRD_SWALLOW_CAVE_GIANT ref6=12,28,-1,2,-1,18 countdown=24060 flag_src=1
20260918-071424	water	1	16883	2032883	manipulation	local sw=reqscript('seasonal-wildlife'); local cfg=sw.loadConfig(); if not cfg.initialized then sw.captureDefault(cfg) end; cfg.layers.land=false; cfg.layers.water=true; cfg.layers.cavern=false; local pool=sw.buildPool(cfg); local n,w=0,0; for _,e in ipairs(pool) do if e.inEmbark and sw.defaultAllow(e) then cfg.allow[e.key]=true; n=n+1; if e.layer=='water' then w=w+1 end end end; local a,f=sw.assignFromMatrix(cfg,pool); cfg.groups.enabled=false; cfg.groups.coupling=false; cfg.ecology.enabled=false; sw.saveConfig(cfg); local act=sw.applyLive(cfg, df.global.cur_season); sw.saveConfig(cfg); sw.enableSched(); local parts={}; for k,v in pairs(cfg.assign) do if k:sub(1,6)=='water:' then parts[#parts+1]=k..'='..table.concat(v,'') end end; table.sort(parts); print(('roster: water layer only — %d allowed (%d water), %d assigned, %d thin, %d applied; groups off; rotation enabled | %s'):format(n,w,a,f,act,table.concat(parts,' ')))	roster: water layer only — 14 allowed (14 water), 14 assigned, 0 thin, 30 applied; groups off; rotation enabled | water:ALLIGATOR=23 water:BIRD_OSPREY=23 water:CROCODILE_SALTWATER=0123 water:FISH_CARP=23 water:FISH_GUPPY=0123 water:FISH_KNIFEFISH_BANDED=0123 water:FISH_LOACH_CLOWN=0123 water:FISH_LUNGFISH=01 water:FISH_MILKFISH=01 water:FISH_STINGRAY=01 water:FISH_TIGERFISH=01 water:HIPPO=01 water:MUSSEL=23 water:RIVER OTTER=0123
20260918-071424	water	1	16883	2032883	manipulation	local ok,out=pcall(dfhack.run_command_silent,'seasonal-wildlife','status'); print((out or ''):gsub('\n',' | '):sub(1,600))	Biomes: LAKE_TROPICAL_FRESHWATER, SAVANNA_TROPICAL, SHRUBLAND_TROPICAL | Layers: water | Embark subset (what can actually come to THIS fort): |   water  ALLIGATOR              predator  large  M=40000   G=2   [SHR.TRO,SAV.TRO,LAK.TRO.FRE] season=AuWi |   water  BIRD_OSPREY            bird      small  M=200     G=1   [SHR.TRO,SAV.TRO,LAK.TRO.FRE] season=AuWi |   water  CROCODILE_SALTWATER    predator  large  M=80000   G=2   [SAV.TRO,SHR.TRO] season=All |   water  FISH_CARP              prey      small  M=4000    G=7   [SAV.TRO,LAK.TRO.FRE] season=AuWi |   water  FISH_GUPPY             vermin
20260918-071424	water	1	16883	2032883	manipulation	local cz,dead=0,0; for _,u in ipairs(df.global.world.units.active) do if dfhack.units.isCitizen(u) then if dfhack.units.isDead(u) then dead=dead+1 else cz=cz+1 end end end; print(('e20 fort: %d living citizens, %d dead on map, year %d season %d day %d'):format(cz,dead,df.global.cur_year,df.global.cur_season,math.floor(df.global.cur_year_tick/1200)))	e20 fort: 7 living citizens, 0 dead on map, year 5 season 0 day 14
20260918-071424	water	1	21972	2037972	arrival	180	RHINOCEROS caste=FEMALE ref6=13,28,-1,-1,-1,241 layer=surface countdown=22576 vanish=0 flag_src=1 flag_nf=1 pos=183,7,95 listed_at=2037972
20260918-071424	water	1	21972	2037972	arrival	181	RHINOCEROS caste=MALE ref6=13,28,-1,-1,-1,241 layer=surface countdown=20847 vanish=0 flag_src=1 flag_nf=1 pos=185,6,95 listed_at=2037972
