run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260921-233953	held	1	91204	897604	201	BIRD_RAVEN	FEMALE	146	12	105	29,20,-1,-1,-1,53	surface	65568	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	203	BIRD_RAVEN	FEMALE	132	3	105	29,20,-1,-1,-1,53	surface	65568	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	204	BIRD_RAVEN	FEMALE	141	14	105	29,20,-1,-1,-1,53	surface	65568	0	1	1	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	206	VORACIOUS_CAVE_CRAWLER	FEMALE	43	157	31	29,20,-1,13,-1,20	cavern	896	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	207	CREEPING_EYE	DEFAULT	126	104	28	29,20,-1,25,-1,25	cavern	2452	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	208	CREEPING_EYE	DEFAULT	166	103	27	29,20,-1,25,-1,25	cavern	1292	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	209	CREEPING_EYE	DEFAULT	183	30	33	29,20,-1,25,-1,25	cavern	3706	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	210	CREEPING_EYE	DEFAULT	167	120	28	29,20,-1,25,-1,25	cavern	6468	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	211	CREEPING_EYE	DEFAULT	130	110	28	29,20,-1,25,-1,25	cavern	4635	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	212	CREEPING_EYE	DEFAULT	182	80	26	29,20,-1,25,-1,25	cavern	1985	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	213	CREEPING_EYE	DEFAULT	167	92	27	29,20,-1,25,-1,25	cavern	9048	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	214	CREEPING_EYE	DEFAULT	183	155	26	29,20,-1,25,-1,25	cavern	3490	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	215	CREEPING_EYE	DEFAULT	154	77	26	29,20,-1,25,-1,25	cavern	4841	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	216	CREEPING_EYE	DEFAULT	176	144	26	29,20,-1,25,-1,25	cavern	5101	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	217	CREEPING_EYE	DEFAULT	165	57	27	29,20,-1,25,-1,25	cavern	2860	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	218	CREEPING_EYE	DEFAULT	177	145	26	29,20,-1,25,-1,25	cavern	1739	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	219	CREEPING_EYE	DEFAULT	159	108	27	29,20,-1,25,-1,25	cavern	3473	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	220	CREEPING_EYE	DEFAULT	164	104	27	29,20,-1,25,-1,25	cavern	8301	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	221	DEMON_13	DEFAULT	48	67	6	29,20,-1,43,-1,4	deep	5983	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	222	DEMON_13	DEFAULT	20	191	4	29,20,-1,43,-1,4	deep	10829	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	223	CROCODILE_CAVE	MALE	52	77	46	29,20,-1,8,-1,10	cavern	5619	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	224	CRUNDLE	FEMALE	126	1	33	29,21,-1,13,-1,9	cavern	4610	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	225	CRUNDLE	MALE	135	4	32	29,21,-1,13,-1,9	cavern	8795	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	226	CRUNDLE	FEMALE	183	131	31	29,21,-1,13,-1,9	cavern	12732	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	227	CRUNDLE	MALE	174	122	31	29,21,-1,13,-1,9	cavern	7428	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	228	CRUNDLE	FEMALE	171	130	31	29,21,-1,13,-1,9	cavern	10635	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	229	CRUNDLE	MALE	106	22	30	29,21,-1,13,-1,9	cavern	9710	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	230	CRUNDLE	FEMALE	98	19	31	29,21,-1,13,-1,9	cavern	8952	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	231	CRUNDLE	FEMALE	110	21	31	29,21,-1,13,-1,9	cavern	6268	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	232	CRUNDLE	MALE	115	25	30	29,21,-1,13,-1,9	cavern	9022	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	233	CRUNDLE	FEMALE	126	99	29	29,21,-1,13,-1,9	cavern	7567	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	234	CRUNDLE	FEMALE	127	93	29	29,21,-1,13,-1,9	cavern	8470	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	235	CRUNDLE	MALE	161	86	29	29,21,-1,13,-1,9	cavern	7489	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	236	CRUNDLE	MALE	155	84	29	29,21,-1,13,-1,9	cavern	6754	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	237	CRUNDLE	FEMALE	137	160	30	29,21,-1,13,-1,9	cavern	11695	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	238	CRUNDLE	MALE	132	161	30	29,21,-1,13,-1,9	cavern	14433	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	91204	897604	239	OLM_GIANT	FEMALE	179	44	42	29,20,-1,8,-1,9	cavern	17222	0	1	0	0	0	-1	0	1	-1
20260921-233953	held	1	92260	898660	134	MAGMA_CRAB	FEMALE	168	173	21	29,20,-1,34,-1,0	deep	0	0	1	0	0	0	-1	0	1	-1
