run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-235836	edge	1	16801	2032801	4408	KANGAROO	Animal	surface	19,24,-1,-1,-1,160	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4409	ADDER	Animal	surface	19,24,-1,-1,-1,161	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4410	ECHIDNA	Animal	surface	19,24,-1,-1,-1,162	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4411	KINGSNAKE	Animal	surface	19,24,-1,-1,-1,164	5	5	0	0	0	0
20260917-235836	edge	1	16801	2032801	4412	SKUNK	Animal	surface	19,24,-1,-1,-1,166	10	10	0	0	0	0
20260917-235836	edge	1	16801	2032801	4413	WEASEL	Animal	surface	19,24,-1,-1,-1,170	21	21	0	0	0	0
20260917-235836	edge	1	16801	2032801	4414	OPOSSUM	Animal	surface	19,24,-1,-1,-1,174	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4415	CRETACEOUS_CARNOTAURUS	Animal	surface	19,24,-1,-1,-1,198	3	3	0	0	0	0
20260917-235836	edge	1	16801	2032801	4418	HIPPO	Animal	feature	19,24,0,-1,-1,0	319	319	0	0	0	0
20260917-235836	edge	1	16801	2032801	4419	FISH_TIGERFISH	Animal	feature	19,24,0,-1,-1,1	187	187	0	0	0	0
20260917-235836	edge	1	16801	2032801	4420	FISH_CARP	Animal	feature	19,24,0,-1,-1,2	297	297	0	0	0	0
20260917-235836	edge	1	16801	2032801	4421	FISH_MILKFISH	Animal	feature	19,24,0,-1,-1,3	209	209	0	0	0	0
20260917-235836	edge	1	16801	2032801	4422	RIVER OTTER	Animal	feature	19,24,0,-1,-1,4	176	176	0	0	0	0
20260917-235836	edge	1	16801	2032801	4423	BIRD_OSPREY	Animal	feature	19,24,0,-1,-1,5	209	209	0	0	0	0
20260917-235836	edge	1	16801	2032801	4424	PLATYPUS	Animal	feature	19,24,0,-1,-1,6	306	308	1	0	0	0
20260917-235836	edge	1	16801	2032801	4437	TOAD_GIANT_CAVE	Animal	cavern	19,24,-1,7,-1,8	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4438	CROCODILE_CAVE	Animal	cavern	19,24,-1,7,-1,9	11	11	0	0	0	0
20260917-235836	edge	1	16801	2032801	4439	POND_GRABBER	Animal	cavern	19,24,-1,7,-1,10	21	21	1	0	0	0
20260917-235836	edge	1	16801	2032801	4440	OLM_GIANT	Animal	cavern	19,24,-1,7,-1,11	16	16	0	0	0	0
20260917-235836	edge	1	16801	2032801	4446	TROGLODYTE	Animal	cavern	19,24,-1,7,-1,17	17	17	0	0	0	0
20260917-235836	edge	1	16801	2032801	4447	GREMLIN	Animal	cavern	19,24,-1,7,-1,18	1	1	0	0	0	0
20260917-235836	edge	1	16801	2032801	4448	RAT_LARGE	Animal	cavern	19,24,-1,7,-1,19	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4449	ELK_BIRD	Animal	cavern	19,24,-1,7,-1,20	31	31	0	0	0	0
20260917-235836	edge	1	16801	2032801	4450	HELMET_SNAKE	Animal	cavern	19,24,-1,7,-1,21	9	9	0	0	0	0
20260917-235836	edge	1	16801	2032801	4451	MOLE_DOG_NAKED	Animal	cavern	19,24,-1,7,-1,22	21	21	0	0	0	0
20260917-235836	edge	1	16801	2032801	4452	RAT_GIANT	Animal	cavern	19,24,-1,7,-1,23	17	17	0	0	0	0
20260917-235836	edge	1	16801	2032801	4455	TROLL	Animal	cavern	19,24,-1,7,-1,26	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4456	GORLAK	Animal	cavern	19,24,-1,7,-1,27	12	12	0	0	0	0
20260917-235836	edge	1	16801	2032801	4457	JABBERER	Animal	cavern	19,24,-1,14,-1,0	20	20	0	0	0	0
20260917-235836	edge	1	16801	2032801	4458	CRUNDLE	Animal	cavern	19,24,-1,14,-1,1	132	132	0	0	0	0
20260917-235836	edge	1	16801	2032801	4459	RAT_GIANT	Animal	cavern	19,24,-1,14,-1,2	8	8	0	0	0	0
20260917-235836	edge	1	16801	2032801	4460	TROGLODYTE	Animal	cavern	19,24,-1,14,-1,3	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4461	BUGBAT	Animal	cavern	19,24,-1,14,-1,4	34	34	0	0	0	0
20260917-235836	edge	1	16801	2032801	4462	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	19,24,-1,14,-1,5	23	23	0	0	0	0
20260917-235836	edge	1	16801	2032801	4463	RUTHERER	Animal	cavern	19,24,-1,14,-1,6	24	24	0	0	0	0
20260917-235836	edge	1	16801	2032801	4467	SPIDER_CAVE_GIANT	Animal	cavern	19,24,-1,14,-1,10	2	2	0	0	0	0
20260917-235836	edge	1	16801	2032801	4468	BLIND_CAVE_OGRE	Animal	cavern	19,24,-1,14,-1,11	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4469	MANERA	Animal	cavern	19,24,-1,14,-1,12	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4470	TROLL	Animal	cavern	19,24,-1,14,-1,13	7	7	0	0	0	0
20260917-235836	edge	1	16801	2032801	4471	REACHER	Animal	cavern	19,24,-1,14,-1,14	10	10	0	0	0	0
20260917-235836	edge	1	16801	2032801	4472	GORLAK	Animal	cavern	19,24,-1,14,-1,15	13	13	0	0	0	0
20260917-235836	edge	1	16801	2032801	4484	CAVE_BLOB	Animal	cavern	19,24,-1,22,-1,11	337	337	0	0	0	0
20260917-235836	edge	1	16801	2032801	4485	CRUNDLE	Animal	cavern	19,24,-1,22,-1,12	199	199	0	0	0	0
20260917-235836	edge	1	16801	2032801	4486	PLUMP_HELMET_MAN	Animal	cavern	19,24,-1,22,-1,13	17	17	0	0	0	0
20260917-235836	edge	1	16801	2032801	4487	FLESH_BALL	Animal	cavern	19,24,-1,22,-1,14	438	438	0	0	0	0
20260917-235836	edge	1	16801	2032801	4488	ELEMENTMAN_MUD	Animal	cavern	19,24,-1,22,-1,15	15	15	0	0	0	0
20260917-235836	edge	1	16801	2032801	4489	RUTHERER	Animal	cavern	19,24,-1,22,-1,16	18	18	0	0	0	0
20260917-235836	edge	1	16801	2032801	4490	BUGBAT	Animal	cavern	19,24,-1,22,-1,17	22	22	0	0	0	0
20260917-235836	edge	1	16801	2032801	4491	ELK_BIRD	Animal	cavern	19,24,-1,22,-1,18	30	30	0	0	0	0
20260917-235836	edge	1	16801	2032801	4492	GREEN_DEVOURER	Animal	cavern	19,24,-1,22,-1,19	11	11	0	0	0	0
20260917-235836	edge	1	16801	2032801	4493	HUNGRY_HEAD	Animal	cavern	19,24,-1,22,-1,20	130	130	0	0	0	0
20260917-235836	edge	1	16801	2032801	4495	SPIDER_CAVE_GIANT	Animal	cavern	19,24,-1,22,-1,22	3	3	0	0	0	0
20260917-235836	edge	1	16801	2032801	4496	REACHER	Animal	cavern	19,24,-1,22,-1,23	14	14	0	0	0	0
20260917-235836	edge	1	16801	2032801	4497	CAVE_DRAGON	Animal	cavern	19,24,-1,22,-1,24	4	4	0	0	0	0
20260917-235836	edge	1	16801	2032801	4498	TROLL	Animal	cavern	19,24,-1,22,-1,25	8	8	0	0	0	0
20260917-235836	edge	1	16801	2032801	4499	CREEPING_EYE	Animal	cavern	19,24,-1,22,-1,26	437	437	0	0	0	0
20260917-235836	edge	1	16801	2032801	4500	BLIND_CAVE_OGRE	Animal	cavern	19,24,-1,22,-1,27	4	4	0	0	0	0
20260917-235836	edge	1	16801	2032801	4501	BLOOD_MAN	Animal	cavern	19,24,-1,22,-1,28	23	23	0	0	0	0
20260917-235836	edge	1	16801	2032801	4503	GORLAK	Animal	cavern	19,24,-1,22,-1,30	16	16	0	0	0	0
20260917-235836	edge	1	16801	2032801	4504	MAGMA_CRAB	Animal	cavern	19,24,-1,32,-1,0	35	35	0	0	0	0
20260917-235836	edge	1	16801	2032801	4505	IMP_FIRE	Animal	cavern	19,24,-1,32,-1,1	22	22	0	0	0	0
20260917-235836	edge	1	16801	2032801	4506	ELEMENTMAN_FIRE	Animal	cavern	19,24,-1,32,-1,2	21	21	0	0	0	0
20260917-235836	edge	1	16801	2032801	4507	ELEMENTMAN_MAGMA	Animal	cavern	19,24,-1,32,-1,3	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4509	DEMON_18	Animal	cavern	19,24,-1,40,-1,0	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4510	DEMON_2	Animal	cavern	19,24,-1,40,-1,1	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4511	DEMON_3	Animal	cavern	19,24,-1,40,-1,2	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4512	DEMON_16	Animal	cavern	19,24,-1,40,-1,3	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4513	DEMON_17	Animal	cavern	19,24,-1,40,-1,4	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4514	DEMON_15	Animal	cavern	19,24,-1,40,-1,5	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4515	DEMON_13	Animal	cavern	19,24,-1,40,-1,6	10000001	10000001	0	0	0	0
20260917-235836	edge	1	16801	2032801	4559	BIRD_EAGLE	Animal	surface	19,25,-1,-1,-1,103	19	19	0	0	0	0
20260917-235836	edge	1	16801	2032801	4576	ELEPHANT	Animal	surface	19,25,-1,-1,-1,137	7	7	0	0	0	0
