run	arm	rep	token	seasons	allowed
20260918-065251	water	1	water:FISH_STINGRAY	0,1	1
20260918-065251	water	1	water:FISH_GUPPY	0,1,2,3	1
20260918-065251	water	1	water:HIPPO	0,1	1
20260918-065251	water	1	water:CROCODILE_SALTWATER	0,1,2,3	1
20260918-065251	water	1	water:RIVER OTTER	0,1,2,3	1
20260918-065251	water	1	water:PLATYPUS	2,3	1
20260918-065251	water	1	water:MUSSEL	2,3	1
20260918-065251	water	1	water:FISH_MILKFISH	0,1	1
20260918-065251	water	1	water:BIRD_OSPREY	2,3	1
20260918-065251	water	1	water:FISH_LUNGFISH	0,1	1
