run	arm	rep	tick	abs_tick	phase	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-173344	river_only	1	16801	2032801	start	203	Grass:128	Grass	cavern	16,21,-1,22,-1,10	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	204	CAVE_BLOB	Animal	cavern	16,21,-1,22,-1,11	354	354	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	205	CRUNDLE	Animal	cavern	16,21,-1,22,-1,12	210	210	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	206	PLUMP_HELMET_MAN	Animal	cavern	16,21,-1,22,-1,13	18	18	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	207	FLESH_BALL	Animal	cavern	16,21,-1,22,-1,14	460	460	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	208	ELEMENTMAN_MUD	Animal	cavern	16,21,-1,22,-1,15	16	16	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	209	RUTHERER	Animal	cavern	16,21,-1,22,-1,16	19	19	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	210	BUGBAT	Animal	cavern	16,21,-1,22,-1,17	24	24	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	211	ELK_BIRD	Animal	cavern	16,21,-1,22,-1,18	32	32	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	212	GREEN_DEVOURER	Animal	cavern	16,21,-1,22,-1,19	12	12	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	213	HUNGRY_HEAD	Animal	cavern	16,21,-1,22,-1,20	137	137	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	214	Vermin:625	Vermin	cavern	16,21,-1,22,-1,21	487	487	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	215	SPIDER_CAVE_GIANT	Animal	cavern	16,21,-1,22,-1,22	4	4	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	216	REACHER	Animal	cavern	16,21,-1,22,-1,23	15	15	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	217	CAVE_DRAGON	Animal	cavern	16,21,-1,22,-1,24	5	5	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	218	TROLL	Animal	cavern	16,21,-1,22,-1,25	9	9	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	219	CREEPING_EYE	Animal	cavern	16,21,-1,22,-1,26	459	459	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	220	BLIND_CAVE_OGRE	Animal	cavern	16,21,-1,22,-1,27	5	5	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	221	BLOOD_MAN	Animal	cavern	16,21,-1,22,-1,28	25	25	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	222	Vermin:419	Vermin	cavern	16,21,-1,22,-1,29	353	353	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	223	GORLAK	Animal	cavern	16,21,-1,22,-1,30	17	17	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	224	MAGMA_CRAB	Animal	cavern	16,21,-1,32,-1,0	38	38	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	225	IMP_FIRE	Animal	cavern	16,21,-1,32,-1,1	24	24	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	226	ELEMENTMAN_FIRE	Animal	cavern	16,21,-1,32,-1,2	23	23	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	227	ELEMENTMAN_MAGMA	Animal	cavern	16,21,-1,32,-1,3	21	21	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	228	Vermin:620	Vermin	cavern	16,21,-1,32,-1,4	436	436	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	229	DEMON_18	Animal	cavern	16,21,-1,40,-1,0	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	230	DEMON_2	Animal	cavern	16,21,-1,40,-1,1	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	231	DEMON_3	Animal	cavern	16,21,-1,40,-1,2	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	232	DEMON_16	Animal	cavern	16,21,-1,40,-1,3	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	233	DEMON_17	Animal	cavern	16,21,-1,40,-1,4	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	234	DEMON_15	Animal	cavern	16,21,-1,40,-1,5	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	235	DEMON_13	Animal	cavern	16,21,-1,40,-1,6	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	236	Bush:4	Bush	surface	16,22,-1,-1,-1,2	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	237	Bush:5	Bush	surface	16,22,-1,-1,-1,3	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	238	Bush:7	Bush	surface	16,22,-1,-1,-1,4	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	239	Bush:13	Bush	surface	16,22,-1,-1,-1,7	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	240	Bush:15	Bush	surface	16,22,-1,-1,-1,8	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	241	Bush:19	Bush	surface	16,22,-1,-1,-1,11	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	242	Bush:38	Bush	surface	16,22,-1,-1,-1,16	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	243	Bush:45	Bush	surface	16,22,-1,-1,-1,19	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	244	Bush:52	Bush	surface	16,22,-1,-1,-1,21	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	245	Bush:55	Bush	surface	16,22,-1,-1,-1,22	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	246	Bush:56	Bush	surface	16,22,-1,-1,-1,23	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	247	Bush:65	Bush	surface	16,22,-1,-1,-1,26	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	248	Bush:66	Bush	surface	16,22,-1,-1,-1,27	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	249	Bush:75	Bush	surface	16,22,-1,-1,-1,29	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	250	Bush:84	Bush	surface	16,22,-1,-1,-1,33	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	251	Bush:85	Bush	surface	16,22,-1,-1,-1,34	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	252	Bush:87	Bush	surface	16,22,-1,-1,-1,35	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	253	Bush:88	Bush	surface	16,22,-1,-1,-1,36	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	254	Grass:91	Grass	surface	16,22,-1,-1,-1,37	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	255	Grass:94	Grass	surface	16,22,-1,-1,-1,38	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	256	Grass:95	Grass	surface	16,22,-1,-1,-1,39	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	257	Grass:96	Grass	surface	16,22,-1,-1,-1,40	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	258	Grass:97	Grass	surface	16,22,-1,-1,-1,41	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	259	Tree:159	Tree	surface	16,22,-1,-1,-1,60	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	260	Tree:161	Tree	surface	16,22,-1,-1,-1,61	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	261	Tree:162	Tree	surface	16,22,-1,-1,-1,62	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	262	Tree:163	Tree	surface	16,22,-1,-1,-1,63	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	263	Tree:168	Tree	surface	16,22,-1,-1,-1,64	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	264	Tree:169	Tree	surface	16,22,-1,-1,-1,65	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	265	Tree:170	Tree	surface	16,22,-1,-1,-1,66	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	266	Tree:171	Tree	surface	16,22,-1,-1,-1,67	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	267	Bush:181	Bush	surface	16,22,-1,-1,-1,68	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	268	Bush:185	Bush	surface	16,22,-1,-1,-1,70	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	269	Bush:186	Bush	surface	16,22,-1,-1,-1,71	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	270	Bush:187	Bush	surface	16,22,-1,-1,-1,72	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	271	Tree:203	Tree	surface	16,22,-1,-1,-1,74	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	272	Tree:216	Tree	surface	16,22,-1,-1,-1,75	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	273	Tree:218	Tree	surface	16,22,-1,-1,-1,76	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	274	Vermin:0	Vermin	surface	16,22,-1,-1,-1,78	430	430	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	275	VerminInnumerable:3	VerminInnumerable	surface	16,22,-1,-1,-1,79	10000001	10000001	0	0	0	0
20260917-173344	river_only	1	16801	2032801	start	276	Vermin:5	Vermin	surface	16,22,-1,-1,-1,80	217	217	0	0	0	0
