run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260918-214322	armed	1	16800	823200	126	ELK_BIRD	MALE	30	52	24	29,20,-1,25,-1,21	cavern	26907	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	127	ELK_BIRD	FEMALE	29	50	24	29,20,-1,25,-1,21	cavern	24656	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	128	ELK_BIRD	MALE	29	49	24	29,20,-1,25,-1,21	cavern	22797	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	129	ELK_BIRD	MALE	31	51	24	29,20,-1,25,-1,21	cavern	23452	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	130	ELK_BIRD	MALE	29	51	24	29,20,-1,25,-1,21	cavern	28306	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	131	ELK_BIRD	FEMALE	31	53	24	29,20,-1,25,-1,21	cavern	24331	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	132	ELK_BIRD	FEMALE	27	50	24	29,20,-1,25,-1,21	cavern	26152	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	133	ELK_BIRD	FEMALE	31	51	24	29,20,-1,25,-1,21	cavern	26535	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	134	MAGMA_CRAB	FEMALE	12	165	22	29,20,-1,34,-1,0	deep	27544	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	135	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	26285	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	136	MAGMA_CRAB	FEMALE	8	161	22	29,20,-1,34,-1,0	deep	25307	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	137	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	deep	24994	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	16800	823200	138	MAGMA_CRAB	MALE	12	164	22	29,20,-1,34,-1,0	deep	21557	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	126	ELK_BIRD	MALE	33	47	24	29,20,-1,25,-1,21	cavern	23858	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	127	ELK_BIRD	FEMALE	48	40	26	29,20,-1,25,-1,21	cavern	21607	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	128	ELK_BIRD	MALE	48	39	26	29,20,-1,25,-1,21	cavern	19748	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	129	ELK_BIRD	MALE	48	42	26	29,20,-1,25,-1,21	cavern	20403	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	130	ELK_BIRD	MALE	47	42	26	29,20,-1,25,-1,21	cavern	25257	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	131	ELK_BIRD	FEMALE	47	40	26	29,20,-1,25,-1,21	cavern	21282	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	132	ELK_BIRD	FEMALE	47	41	26	29,20,-1,25,-1,21	cavern	23103	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	133	ELK_BIRD	FEMALE	46	42	26	29,20,-1,25,-1,21	cavern	23486	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	134	MAGMA_CRAB	FEMALE	9	140	22	29,20,-1,34,-1,0	deep	24495	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	135	MAGMA_CRAB	MALE	13	144	19	29,20,-1,34,-1,0	deep	23236	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	136	MAGMA_CRAB	FEMALE	17	148	19	29,20,-1,34,-1,0	deep	22258	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	137	MAGMA_CRAB	MALE	18	152	21	29,20,-1,34,-1,0	deep	21945	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	138	MAGMA_CRAB	MALE	18	157	21	29,20,-1,34,-1,0	deep	18508	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	139	PORCUPINE	FEMALE	65	147	104	29,20,-1,-1,-1,90	surface	23415	0	0	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	140	GORLAK	MALE	86	24	51	29,20,-1,8,-1,28	cavern	21645	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	141	TROGLODYTE	FEMALE	90	20	31	29,20,-1,13,-1,19	cavern	19883	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	142	TROGLODYTE	MALE	97	10	30	29,20,-1,13,-1,19	cavern	25599	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	143	TROGLODYTE	MALE	110	9	29	29,20,-1,13,-1,19	cavern	21508	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	144	TROGLODYTE	MALE	113	8	29	29,20,-1,13,-1,19	cavern	23416	0	1	0	0	0	-1	0	1	-1
20260918-214322	armed	1	19849	826249	145	TROGLODYTE	MALE	115	8	29	29,20,-1,13,-1,19	cavern	25625	0	1	0	0	0	-1	0	1	-1
