run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260921-213219	dawn	2	68025	874425	5774	SHARK_NURSE	Animal	surface	30,19,-1,-1,-1,15	5	5	0	0	0	0
20260921-213219	dawn	2	68025	874425	5775	SHARK_MAKO_SHORTFIN	Animal	surface	30,19,-1,-1,-1,16	28	28	0	0	0	0
20260921-213219	dawn	2	68025	874425	5776	SHARK_MAKO_LONGFIN	Animal	surface	30,19,-1,-1,-1,17	19	19	0	0	0	0
20260921-213219	dawn	2	68025	874425	5777	SHARK_BLUE	Animal	surface	30,19,-1,-1,-1,22	23	23	0	0	0	0
20260921-213219	dawn	2	68025	874425	5778	SHARK_HAMMERHEAD	Animal	surface	30,19,-1,-1,-1,23	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5779	SHARK_ANGEL	Animal	surface	30,19,-1,-1,-1,24	17	17	0	0	0	0
20260921-213219	dawn	2	68025	874425	5780	FISH_SKATE_COMMON	Animal	surface	30,19,-1,-1,-1,25	17	17	0	0	0	0
20260921-213219	dawn	2	68025	874425	5781	FISH_STURGEON	Animal	surface	30,19,-1,-1,-1,29	6	6	0	0	0	0
20260921-213219	dawn	2	68025	874425	5782	FISH_CONGER_EEL	Animal	surface	30,19,-1,-1,-1,30	6	6	0	0	0	0
20260921-213219	dawn	2	68025	874425	5783	FISH_COD	Animal	surface	30,19,-1,-1,-1,32	11	11	0	0	0	0
20260921-213219	dawn	2	68025	874425	5784	FISH_OPAH	Animal	surface	30,19,-1,-1,-1,33	27	27	0	0	0	0
20260921-213219	dawn	2	68025	874425	5785	FISH_BLUEFISH	Animal	surface	30,19,-1,-1,-1,35	23	23	0	0	0	0
20260921-213219	dawn	2	68025	874425	5786	FISH_SUNFISH_OCEAN	Animal	surface	30,19,-1,-1,-1,36	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5787	FISH_SWORDFISH	Animal	surface	30,19,-1,-1,-1,37	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5788	FISH_MARLIN	Animal	surface	30,19,-1,-1,-1,38	19	19	0	0	0	0
20260921-213219	dawn	2	68025	874425	5789	FISH_HALIBUT	Animal	surface	30,19,-1,-1,-1,39	8	8	0	0	0	0
20260921-213219	dawn	2	68025	874425	5790	FISH_TUNA_BLUEFIN	Animal	surface	30,19,-1,-1,-1,41	36	36	0	0	0	0
20260921-213219	dawn	2	68025	874425	5791	OCTOPUS	Animal	surface	30,19,-1,-1,-1,43	77	77	0	0	0	0
20260921-213219	dawn	2	68025	874425	5792	CRAB	Animal	surface	30,19,-1,-1,-1,44	432	432	0	0	0	0
