run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild	mother
20260917-235439	edge	1	17821	824221	138	MAGMA_CRAB	MALE	12	165	22	29,20,-1,34,-1,0	cavern	20536	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	139	BIRD_RAVEN	FEMALE	178	0	119	28,19,-1,-1,-1,53	surface	21433	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	140	BIRD_RAVEN	FEMALE	181	1	115	28,19,-1,-1,-1,53	surface	20603	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	141	BIRD_RAVEN	MALE	184	1	110	28,19,-1,-1,-1,53	surface	20842	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	142	BIRD_RAVEN	FEMALE	183	1	109	28,19,-1,-1,-1,53	surface	22930	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	143	BIRD_RAVEN	MALE	177	1	106	28,19,-1,-1,-1,53	surface	20813	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	144	BIRD_RAVEN	MALE	173	1	105	28,19,-1,-1,-1,53	surface	28640	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	145	BIRD_RAVEN	FEMALE	173	5	104	28,19,-1,-1,-1,53	surface	23382	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	146	BIRD_RAVEN	MALE	172	10	106	28,19,-1,-1,-1,53	surface	19889	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	147	BIRD_RAVEN	FEMALE	173	14	108	28,19,-1,-1,-1,53	surface	20865	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	148	BIRD_RAVEN	MALE	175	14	109	28,19,-1,-1,-1,53	surface	23299	0	1	1	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	149	TOAD_GIANT_CAVE	FEMALE	150	4	48	29,20,-1,8,-1,12	cavern	20443	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	150	TROGLODYTE	FEMALE	9	33	31	29,20,-1,13,-1,19	cavern	25933	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	151	TROGLODYTE	MALE	12	34	30	29,20,-1,13,-1,19	cavern	20508	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	152	TROGLODYTE	FEMALE	17	41	29	29,20,-1,13,-1,19	cavern	19495	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	153	TROGLODYTE	MALE	12	49	29	29,20,-1,13,-1,19	cavern	25161	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	154	TROGLODYTE	FEMALE	21	57	30	29,20,-1,13,-1,19	cavern	20721	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	155	TROGLODYTE	FEMALE	8	57	31	29,20,-1,13,-1,19	cavern	21136	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	156	TROGLODYTE	MALE	3	57	31	29,20,-1,13,-1,19	cavern	25803	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	157	TROGLODYTE	FEMALE	3	52	31	29,20,-1,13,-1,19	cavern	21992	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	158	DEMON_12	DEFAULT	39	12	6	28,20,-1,44,-1,4	cavern	25469	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	159	OLM_GIANT	MALE	65	190	39	29,21,-1,8,-1,9	cavern	28767	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	160	DEMON_9	DEFAULT	170	103	4	30,20,-1,43,-1,2	cavern	25254	0	1	0	0	0	-1	0	1	-1
20260917-235439	edge	1	17821	824221	161	DEMON_9	DEFAULT	170	105	4	30,20,-1,43,-1,2	cavern	20831	0	1	0	0	0	-1	0	1	-1
